Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,word_count
2023-01-01,Savings account,,Interest rate,,this is a sample complaint narrative about fees issues.,9
2023-01-02,Personal loan,,Account opening,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2023-01-03,Personal loan,,Transfer issues,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-01-04,Credit card,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-01-05,Credit card,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,36
2023-01-06,Credit card,,Billing dispute,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,36
2023-01-07,Credit card,,Transfer issues,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,36
2023-01-08,Money transfers,,Account opening,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,36
2023-01-09,Credit card,,Account opening,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-01-10,Credit card,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-01-11,Personal loan,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-01-12,Savings account,,Account opening,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2023-01-13,Money transfers,,Interest rate,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,27
2023-01-14,Money transfers,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-01-15,Personal loan,,Account opening,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-01-16,Savings account,,Interest rate,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-01-17,Savings account,,Billing dispute,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,36
2023-01-18,Credit card,,Account opening,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,36
2023-01-19,Savings account,,Interest rate,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,18
2023-01-20,Credit card,,Interest rate,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
2023-01-21,Credit card,,Billing dispute,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-01-22,Credit card,,Transfer issues,,this is a sample complaint narrative about interest issues.,9
2023-01-23,Credit card,,Billing dispute,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,18
2023-01-24,Savings account,,Account opening,,this is a sample complaint narrative about service issues. this is a sample complaint narrative about service issues.,18
2023-01-25,Personal loan,,Interest rate,,this is a sample complaint narrative about service issues.,9
2023-01-26,Money transfers,,Transfer issues,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,18
2023-01-27,Credit card,,Account opening,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-01-28,Money transfers,,Billing dispute,,this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues. this is a sample complaint narrative about interest issues.,27
2023-01-29,Personal loan,,Account opening,,this is a sample complaint narrative about billing issues. this is a sample complaint narrative about billing issues.,18
2023-01-30,Credit card,,Billing dispute,,this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues. this is a sample complaint narrative about fees issues.,36
